vehicle_make_model,prices
Ampere Magnus Pro,45552.0
Ampere Magnus Pro,66053.0
Ampere Magnus EX,81811.0
Ampere Primus,110117.0
Ampere REO,61993.0
Ampere Reo Elite,42999.0
Ampere Reo Elite,59993.0
Ampere V 48,40101.0
Ampere V 48,51014.0
Ampere Zeal,67478.0
Aprilia Caponord 1200 ABS,1812934.0
Aprilia Caponord 1200 ABS Travel,2001749.0
Aprilia Caponord 1200 Rally,2105281.0
Aprilia Dorsoduro 1200 ABS,1734639.0
Aprilia Dorsoduro 900,1422188.0
Aprilia Mana 850,1085000.0
Aprilia Mana 850 ABS,1446238.0
Aprilia Mana 850 GT ABS,1407035.0
Aprilia RS 660,1339000.0
Aprilia RSV4 1100 Factory,2369000.0
Aprilia RSV4 RF,2494575.0
Aprilia RSV4 RR,2234120.0
Aprilia Shiver 900,1370088.0
Aprilia SR 125,123822.0
Aprilia SR 150,75712.0
Aprilia SR 150,83669.0
Aprilia SR 150,77295.0
Aprilia SR 150,86311.0
Aprilia SR 150,95620.0
Aprilia SR 150,89181.0
Aprilia SR 150,105531.0
Aprilia SR 150,108625.0
Aprilia SR 150,114886.0
Aprilia SR150,76410.0
Aprilia SR150,73373.0
Aprilia SR 160,132720.0
Aprilia SR 160,135168.0
Aprilia SR 160,142007.0
Aprilia SRV 850 ABS ATC,1489306.0
Aprilia Storm 125,102778.0
Aprilia SXR 125,134011.0
Aprilia SXR 160,145397.0
Aprilia Tuono 660,1309000.0
Aprilia Tuono Factory,2066000.0
Aprilia Tuono V4 1100,2005753.0
Aprilia Tuono V4 1100,2136655.0
Aprilia Tuono V4 APRC,
Aprilia Tuono V4 APRC,1984677.0
Ather 340,97757.0
Ather 450,108847.0
Ather 450X Gen 3,155837.0
Ather 450X Gen 3,133955.0
Ather 450X Gen 2,140060.0
Ather 450X Gen 2,159073.0
Avan Motors Trend E,56900.0
Avan Motors Trend E,81269.0
Avan Motors Xero,55000.0
Avan Motors Xero+,47000.0
Avan Motors Xero+,66500.0
Avanturaa Choppers Pravega,2140000.0
Avanturaa Choppers Rudra,2390000.0
Bajaj Avenger,79567.0
Bajaj Avenger Street 150,82192.0
Bajaj Avenger Cruise 220,138999.0
Bajaj Avenger Street 160,112560.0
Bajaj Avenger Street 180,88607.0
Bajaj Avenger Street 220,105380.0
Bajaj Avenger Street 220,96965.0
Bajaj Boxer,
Bajaj Boxer,
Bajaj Boxer,
Bajaj Boxer,
Bajaj Boxer,
Bajaj Boxer,
Bajaj Bravo,
Bajaj Byk,
Bajaj Byk,
Bajaj Caliber,
Bajaj Caliber,
Bajaj Chetak,147982.0
Bajaj Chetak,127633.0
Bajaj Chetak,
Bajaj Chetak,
Bajaj Classic 1994,
Bajaj Ct,
Bajaj CT 100,33008.0
Bajaj CT 100,41450.0
Bajaj CT 100,33838.0
Bajaj CT 100,35472.0
Bajaj CT 100,42369.0
Bajaj CT 100,52340.0
Bajaj CT 100,46062.0
Bajaj CT 100,52628.0
Bajaj CT 100,35046.0
Bajaj CT 100,35785.0
Bajaj CT 110,59041.0
Bajaj CT 110,66897.0
Bajaj CT 125X,72155.0
Bajaj CT 125X,75355.0
Bajaj Cub,
Bajaj Discover 100,44941.0
Bajaj Discover 100,46588.0
Bajaj Discover 100,
Bajaj Discover 100 M,47128.0
Bajaj Discover 100 M,49157.0
Bajaj Discover 100 T,49672.0
Bajaj Discover 100 T,51497.0
Bajaj Discover 110,52801.0
Bajaj Discover 110,54204.0
Bajaj Discover125,51074.0
Bajaj Discover125,53104.0
Bajaj Discover 125,59142.0
Bajaj Discover 125,63091.0
Bajaj Discover125,
Bajaj Discover 125,59700.0
Bajaj Discover 125,57047.0
Bajaj Discover 125 ST,57810.0
Bajaj Discover 125T,56051.0
Bajaj Discover 125T,53107.0
Bajaj Discover 135,
Bajaj Discover 135,
Bajaj Discover 150,53411.0
Bajaj Discover 150F,63754.0
Bajaj Discover 150F,59641.0
Bajaj Discover 150S,56047.0
Bajaj Discover 150S,59977.0
Bajaj Dominar 250,177404.0
Bajaj Dominar 400,223119.0
Bajaj Dominar 400,162452.0
Bajaj Dominar 400,148018.0
Bajaj Kristal,
Bajaj Legend,
Bajaj M80,
Bajaj Discover 125 M,51748.0
Bajaj Discover 125 M,49789.0
Bajaj Platina 100,60001.0
Bajaj Platina 100,63706.0
Bajaj Platina 100,52734.0
Bajaj Platina 100,65249.0
Bajaj Platina 110,72692.0
Bajaj Platina 110,69461.0
Bajaj Platina 110,67673.0
Bajaj Platina 110,51111.0
Bajaj Priya,
Bajaj Pulsar 125,89838.0
Bajaj Pulsar 125,92179.0
Bajaj Pulsar 125,85756.0
Bajaj Pulsar 125,82712.0
Bajaj Pulsar 125,90741.0
Bajaj Pulsar 125,84834.0
Bajaj Pulsar 135 LS,64180.0
Bajaj Pulsar 150,105884.0
Bajaj Pulsar 150,113349.0
Bajaj Pulsar 150,116762.0
Bajaj Pulsar 150,
Bajaj Pulsar 180,117972.0
Bajaj Pulsar 180,85333.0
Bajaj Pulsar 180,93842.0
Bajaj Pulsar 180F,87743.0
Bajaj Pulsar 180F,96710.0
Bajaj Pulsar 180F,115080.0
Bajaj Pulsar 200,
Bajaj Pulsar 220 F,136422.0
Bajaj Pulsar 220 DTS-i,
Bajaj Pulsar 220 F,98499.0
Bajaj Pulsar 220 F,112498.0
Bajaj Pulsar 220 F,131286.0
Bajaj Pulsar 220 Fi,
Bajaj Pulsar 220S,
Bajaj Pulsar AS150,83530.0
Bajaj Pulsar AS200,97085.0
Bajaj Pulsar F250,150430.0
Bajaj Pulsar F250,144449.0
Bajaj Pulsar N160,123006.0
Bajaj Pulsar N160,129332.0
Bajaj Pulsar N250,150429.0
Bajaj Pulsar N250,144285.0
Bajaj Pulsar NS200,146826.0
Bajaj Pulsar NS200,142051.0
Bajaj Pulsar NS125,105597.0
Bajaj Pulsar NS160,135038.0
Bajaj Pulsar NS160,124606.0
Bajaj Pulsar P150,117179.0
Bajaj Pulsar P150,120181.0
Bajaj Rave,
Bajaj Pulsar RS 200,171256.0
Bajaj Saffire,
Bajaj Saffire,
Bajaj Spirit,
Bajaj Spirit,
Bajaj Sunny Spice,
Bajaj Sunny Spice,
Bajaj Super,
Bajaj V12,58954.0
Bajaj V12,60296.0
Bajaj V15,67583.0
Bajaj V15,66448.0
Bajaj Wave,
Bajaj Wind,
Bajaj Wind,
Bajaj Xcd,
Bajaj Xcd,
Bajaj Xcd,
Bajaj Xcd,
Benelli 302R BS4,317558.0
Benelli 502C,579955.0
Benelli Imperiale 400,234886.0
Benelli Leoncino 500,554876.0
Benelli Leoncino 250 BS4,250888.0
Benelli Leoncino 500 BS4,480791.0
Benelli TNT 25,190641.0
Benelli TNT 25,175973.0
Benelli TNT 300 BS4,305315.0
Benelli TNT 600GT,658854.0
Benelli TNT600i BS4,617272.0
Benelli TNT600i BS4,559832.0
Benelli TNT 899,973217.0
Benelli TNT R,1210421.0
Benelli TRK 251,298977.0
Benelli TRK 502,569881.0
Benelli TRK 502 BS4,511816.0
Benelli TRK 502X,629954.0
Benelli TRK 502X BS4,551848.0
Benling Aura,91667.0
Benling Falcon,60923.0
Benling Icon,63660.0
Benling Kriti,56781.0
BGauss A2,76060.0
BGauss B8,85384.0
BGauss C12,97999.0
BGauss D15,104536.0
BGauss D15,117610.0
BMW C 400 GT,1074904.0
BMW F650,1200433.0
BMW F750 GS,1197432.0
BMW F750 GS,1322410.0
BMW F750 GS,1342410.0
BMW F850 GS,1374909.0
BMW F850 GS,1294918.0
BMW F850 GS,1297482.0
BMW F850 GS,1442410.0
BMW F850 GS,1422410.0
BMW F 850 GS Adventure,1540000.0
BMW F900R,1076989.0
BMW F900XR,1254954.0
BMW F900XR,1093494.0
BMW F900XR,1236989.0
BMW G 310 GS,320556.0
BMW G310GS,349402.0
BMW G 310 GS,304873.0
BMW G 310 R,280939.0
BMW G 310 R,299000.0
BMW G 310 R,264877.0
BMW G310 RR,294982.0
BMW G310 RR,299975.0
BMW K1300 R,2509000.0
BMW K1300 S,2395512.0
BMW K 1600,2998414.0
BMW K 1600,3207110.0
BMW K 1600,3307110.0
BMW K 1600 B,2868937.0
BMW K1600 GT,2959070.0
BMW K1600 GTL,2630000.0
BMW K1600 GTL,2927292.0
BMW M 1000 RR,4200000.0
BMW M 1000 RR,4500000.0
BMW R1200 GS,1588395.0
BMW R1200 GS,1934825.0
BMW R1200 GS,1925804.0
BMW R1200 GS Adventure,1728395.0
BMW R1200 GS Adventure,2135325.0
BMW R1200 GS Adventure,2098395.0
BMW R1200 R,1504985.0
BMW R1200 R,1548029.0
BMW R1200 R,1564985.0
BMW R 1200 RS,1554985.0
BMW R 1200 RS,1654985.0
BMW R1200 RT,1834383.0
BMW R1200 RT,2055095.0
BMW R 1250 GS,2079745.0
BMW R 1250 GS,1685000.0
BMW R 1250 GS,2005000.0
BMW R 1250 GS Adventure,2265865.0
BMW R 1250 GS Adventure,1825000.0
BMW R 1250 GS Adventure,2195000.0
BMW R 1250 R,1595000.0
BMW R 1250 RT,2402762.0
BMW R 1250 RT,2250000.0
BMW R1300,2194500.0
BMW R1300,2090000.0
BMW R18,2590000.0
BMW R18,3150000.0
BMW R18,1989819.0
BMW R18,2254882.0
BMW R18,2400000.0
BMW R nineT,2400000.0
BMW R nineT,1902609.0
BMW R nineT,1778546.0
BMW R nineT Racer,1679228.0
BMW R Nine T Scrambler,1734700.0
BMW R Nine T Scrambler,1598275.0
BMW S 1000 R,1899809.0
BMW S 1000 R,2044809.0
BMW S 1000 R,2329781.0
BMW S 1000 R,1768546.0
BMW S 1000 R,1851088.0
BMW S 1000 R,1668907.0
BMW S 1000 RR,2028799.0
BMW S 1000 RR,2218799.0
BMW S 1000 RR,2445000.0
BMW S1000 RR,1798029.0
BMW S1000 RR,2068029.0
BMW S1000 RR,
BMW S1000 RR,
BMW S1000 RR,1850000.0
BMW S1000 RR,2095000.0
BMW S1000 RR,2295000.0
BMW S1000 RR,2169243.0
BMW S1000 RR,2395000.0
BMW S1000 RR,1979243.0
BMW S 1000 XR,2209275.0
BMW S 1000 XR,1788957.0
BMW S 1000 XR,2086012.0
Bounce Infinity E1,88484.0
Bounce Infinity E1,54443.0
CFMoto 300NK,229000.0
CFMoto 300NK,229000.0
CFMoto 650GT,559000.0
CFMoto 650GT,549000.0
CFMoto 650MT,529000.0
CFMoto 650MT,499000.0
CFMoto 650NK,429000.0
CFMoto 650NK,399000.0
Cleveland CycleWerks Ace,223561.0
Cleveland CycleWerks Misfit,249777.0
Ducati 1098 R TB,
Ducati 1198,
Ducati 1198 R,
Ducati 1198 S,
Ducati 1199 Panigale,2160015.0
Ducati 1299 Panigale,3611872.0
Ducati 1299 Panigale R Final Edition,5410291.0
Ducati 1299 Panigale S,4450947.0
Ducati 1299 Superleggera,11365274.0
Ducati 848,
Ducati 848 Evo,1657694.0
Ducati 899 Panigale,1514110.0
Ducati 899 Panigale,1479833.0
Ducati 959 Panigale,1474434.0
Ducati 959 Panigale,1496696.0
Ducati DesertX,1791000.0
Ducati Diavel,2173218.0
Ducati Diavel,1611342.0
Ducati Diavel 1260,2149000.0
Ducati Diavel 1260,2499000.0
Ducati Diavel 1260,1771324.0
Ducati Diavel 1260,1928754.0
Ducati Diavel Carbon,
Ducati Diavel Carbon,
Ducati Diavel Carbon,1972145.0
