vehicle_make,vehicle_model,prices
SEEKA,SMAK,109455
VEGH AUTOMOBILES,VEGH S60,109500
POISE,GRACE,102587
QUANTUM,BZINESS,108248
QUANTUM,BZINESS PRO,108249
SOKUDO,ACUTE,102443
SOKUDO,ACUTE 2.2,102444
QUANTUM,PLASMA,106999
QUANTUM,PLASMA X,107000
AVERA,RETROSA II,108448
AVERA,RETROSA LITE E,108449
AVERA,RETROSA,108450
APRILIA,RSV4 FACTORY,3126000
HONDA,CRF 1000L AFRICA TWIN,1674000
DUCATI,MONSTER,1445000
KAWASAKI,NINJA ZX-4R,849000
ROYAL ENFIELD,SHOTGUN 650,366000
ULTRAVIOLETTE,F77,349000
KTM,DUKE 390,311000
HARLEY DAVIDSON,X440,260000
EVEIUM,CZAR,208000
KTM,DUKE 200,197000
YAMAHA,R15,190000
SEEKA,SBOLT,169000
MARUTHISAN,DREAM PLUS,163000
MARUTHISAN,MS 3.0,153500
SEEKA,S-SEAGUN,152000
SIMPLE,SIMPLE ONE,147500
HOP,OXO,147000
ABZO,VS01,145000
EVTRIC,RISE,142000
AFTEK,ELMO,140000
EVEIUM,COSMO,139000
RIVER,INDIE,138000
KOMAKI,TN-95,135500
ADMS,EVA,135000
ADMS,DB,133000
POISE,NX-120,130500
JITENDRA,JMT 1000 3K,128000
DELTIC,TRENTO,128000
KOMAKI,VENICE,127000
M2GO,CIVITAS,127000
BAJAJ,PULSAR N150,125000
ATUMOBILE,ATUM VADER,124000
OZOTEC,FLIO +,123500
KOMAKI,DT 3000,121000
HONDA,SP 160,120000
KOMAKI,SE,117484
ROWWET,ELEQ,116000
ENIGMA,CRINK PRO,115000
TUNWAL,TZ 3.3,115000
ROWWET,RAME,115000
AERORIDE,YB200,113550
M2GO,X1,111000
KINETIC GREEN,FLEX,110000
SUPERECO,S 2,105000
GT FORCE,GT DRIVE PLUS,103000
DELTIC,DELTIC ZGS,102000
DELTIC,ZGS,102000
EBLU,EBLU FEO,99999
DAO,703,99999
FUJIYAMA,OZONE,99918
JITENDRA,JMT 1000 HS,97224
BAJAJ,PULSAR 200,97000
ENIGMA,CRINK V1,96835
EVTRIC,RIDE,96416.5
JPS,STELLA MOTO BUZZ,95000
TUNWAL,ROMA S,95000
TUNWAL,TEM G33,92000
QUANTUM,ELEKTRON,91000
KABIRA,HERMES 75,90825
TUNWAL,STORM ZX PLUS,90000
QUANTUM,MILAN,89000
ENIGMA,GT 450 PRO,86902
EVTRIC,CONNECT,82461
ADMS,GTR,79800
E-SPRINTO,SPRINTO HS,79000
E-SPRINTO,AMERY,79000
KINETIC GREEN,ZING HSS,78490
KOMAKI,LY,78000
ENIGMA,AMBIER N8,76000
GT FORCE,GT ONE PLUS PRO,74397.5
JOY E-BIKE,GEN NEXT NANU ECO,73125
JOY E-BIKE,GEN NEXT NANU PLUS,73125
JOY E-BIKE,GEN NEXT NANU,73125
BAJAJ,CT 110 X,69626
KOMAKI,FLORA,69000
SUPERECO,SE 2,62652
HERO,HF 100,59018
SUPERECO,T 1,56772
AVON,E PLUS,25000
LECTRIX EV,LXS,0
