vehicle_make_model,prices
TVS Apache RTR 160,Rs.1.19 - 1.26 Lakh*
TVS Raider,"Rs.95,219 - 1.03 Lakh*"
TVS NTORQ 125,"Rs.84,636 - 1.05 Lakh*"
TVS Apache RTR 160 4V,Rs.1.24 - 1.45 Lakh*
TVS Jupiter,"Rs.73,340 - 89,748*"
TVS IQube Electric,Rs.1.20 - 1.29 Lakh*
TVS Apache RTR 310,Rs.2.43 - 2.64 Lakh*
TVS Ronin,Rs.1.49 - 1.73 Lakh*
TVS Jupiter 125,"Rs.86,405 - 96,855*"
TVS XL100,"Rs.44,999 - 59,695*"
TVS Apache RR 310,Rs.2.72 Lakh*
TVS Scooty Pep Plus,"Rs.65,514 - 68,414*"
TVS Apache RTR 180,Rs.1.32 Lakh*
TVS Sport,"Rs.59,431 - 70,773*"
TVS Radeon,"Rs.62,405 - 80,744*"
TVS Apache RTR 200 4V,Rs.1.47 Lakh*
TVS Scooty Zest,"Rs.73,931 - 75,293*"
TVS Star City Plus,"Rs.78,770 - 81,920*"
TVS X,Rs.2.50 Lakh*
Bajaj Pulsar NS200,Rs.1.58 Lakh*
Bajaj Pulsar 125,"Rs.81,414 - 94,957*"
Bajaj Pulsar 150,Rs.1.10 - 1.15 Lakh*
Bajaj Pulsar NS 125,Rs.1 Lakh*
Bajaj Pulsar RS200,Rs.1.73 Lakh*
Bajaj Pulsar N160,Rs.1.23 - 1.31 Lakh*
Bajaj Pulsar NS160,Rs.1.47 Lakh*
Bajaj Pulsar 220 F,Rs.1.39 Lakh*
Bajaj Dominar 400,Rs.2.31 Lakh*
Bajaj Pulsar N250,Rs.1.50 - 1.51 Lakh*
Bajaj Pulsar N150,Rs.1.25 Lakh*
Bajaj Chetak,Rs.1.15 - 1.44 Lakh*
Bajaj Dominar 250,Rs.1.85 Lakh*
Bajaj Platina 110,"Rs.70,854 - 80,275*"
Bajaj Platina 100,"Rs.67,808*"
Bajaj Avenger Street 160,Rs.1.18 Lakh*
Bajaj CT 110X,"Rs.69,626*"
Bajaj Avenger Cruise 220,Rs.1.44 Lakh*
Bajaj CT 125X,"Rs.74,016 - 77,216*"
Bajaj Pulsar P150,Rs.1.17 - 1.20 Lakh*
Bajaj Avenger 220 Street,Rs.1.43 Lakh*
Royal Enfield Classic 350,Rs.1.93 - 2.25 Lakh*
