Make,Model,Variant,prices
APRILIA                       ,CAPONORD                                          ,1200 ABS,2157647
APRILIA                       ,CAPONORD                                          ,1200 ABS BSIV,2177000
APRILIA                       ,CAPONORD                                          ,1200 RALLY ABS BSIV,2230000
BAJAJ                         ,ASPIRE                                            ,STD,25000
BAJAJ                         ,AVENGER                                           ,CRUISE,84000
BAJAJ                         ,AVENGER                                           ,STD,59500
BAJAJ                         ,AVENGER                                           ,STD,68900
BAJAJ                         ,AVENGER                                           ,STD,89347
BAJAJ                         ,AVENGER                                           ,STREET,75000
BAJAJ                         ,AVENGER                                           ,STREET,84000
BAJAJ                         ,AVENGER                                           ,150 STREET BSIV,85595
BAJAJ                         ,AVENGER                                           ,180 STREET BSIV,90345
BAJAJ                         ,AVENGER                                           ,220 STREET BSIV,99700
BAJAJ                         ,AVENGER                                           ,220 CRUISE UG,99700
BAJAJ                         ,AVENGER                                           ,220 STREET ABS,102426
BAJAJ                         ,AVENGER                                           ,220 CRUISE ABS,129000
BAJAJ                         ,AVENGER                                           ,160 STREET ABS,89080
BAJAJ                         ,AVENGER                                           ,160 STREET,106131
BAJAJ                         ,AVENGER                                           ,160 STREET ABS BSVI,112038
BAJAJ                         ,AVENGER                                           ,220 STREET ABS BSVI,140000
BAJAJ                         ,AVENGER                                           ,220 CRUISE ABS BSVI,138351
BAJAJ                         ,AVENGER                                           ,DTSI,80000
BAJAJ                         ,AVENGER                                           ,160 STREET ABS BSVI PD 31,112000
BAJAJ                         ,BOXER                                             ,AR,28000
BAJAJ                         ,BOXER                                             ,AT,35000
BAJAJ                         ,BOXER                                             ,CT,42000
BAJAJ                         ,BOXER                                             ,STD,29000
BAJAJ                         ,BOXER                                             ,STD,30000
BAJAJ                         ,BOXER 150                                         ,ELEC ST DRUM BRAKE SPOKE WHEEL,42873
BAJAJ                         ,BYK                                               ,M,25000
BAJAJ                         ,BYK                                               ,STD,25000
BAJAJ                         ,CALIBER                                           ,CALIBER 115,40000
BAJAJ                         ,CALIBER                                           ,CROMA,27900
BAJAJ                         ,CALIBER                                           ,STD,40000
BAJAJ                         ,CALIBER                                           ,CALIBER 115,40000
BAJAJ                         ,CT 100                                            ,Deluxe,35000
BAJAJ                         ,CT 100                                            ,STD,35000
BAJAJ                         ,CT 100                                            ,B BSIV,33795
BAJAJ                         ,CT 100                                            ,SPOKE BSIV,30448
